# This file was produced by samtools stats (1.18+htslib-1.17) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats sample_1_sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	c9af156d	38c09b9e	eaa58b0e
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	234162	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	234162
SN	is sorted:	1
SN	1st fragments:	117081
SN	last fragments:	117081
SN	reads mapped:	124412
SN	reads mapped and paired:	124412	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	109750
SN	reads properly paired:	124396	# proper-pair bit set
SN	reads paired:	234162	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	44	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	2100
SN	supplementary alignments:	3
SN	total length:	23255581	# ignores clipping
SN	total first fragment length:	11654869	# ignores clipping
SN	total last fragment length:	11600712	# ignores clipping
SN	bases mapped:	12356094	# ignores clipping
SN	bases mapped (cigar):	12346372	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	18052	# from NM fields
SN	error rate:	1.462130e-03	# mismatches / bases mapped (cigar)
SN	average length:	99
SN	average first fragment length:	100
SN	average last fragment length:	99
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	36.7
SN	insert size average:	858.9
SN	insert size standard deviation:	1814.8
SN	inward oriented pairs:	61960
SN	outward oriented pairs:	246
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	53.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	19	0	0	0	0	0	0	0	2	23	2	38	8	1	0	0	13	40	9	130	41	7	31	16	45	95	202	110	448	41	196	416	576	830	849	1433	1153	2490	2564	6929	7154	20273	70916	0
FFQ	20	0	0	0	0	0	0	0	3	25	3	57	6	2	1	1	8	49	10	103	37	5	24	9	70	87	249	103	446	38	199	507	592	810	831	1485	1264	2605	2775	7181	7323	20630	69543	0
FFQ	21	0	0	0	0	0	0	0	0	25	4	49	17	1	0	3	21	40	21	125	32	4	32	10	66	106	251	117	425	54	186	490	614	766	895	1481	1253	2543	2742	7334	7591	20921	68862	0
FFQ	22	0	0	0	0	0	0	2	1	23	3	53	10	4	1	2	11	55	31	125	42	4	31	14	65	118	204	127	432	58	228	513	634	713	921	1397	1364	2625	2765	7440	7848	21230	67987	0
FFQ	23	0	0	0	0	0	2	2	2	28	16	47	11	2	1	1	24	36	19	106	37	2	28	17	87	126	264	148	430	61	224	628	682	791	937	1548	1465	2549	2848	7651	7834	21347	67080	0
FFQ	24	0	0	0	0	0	1	3	1	51	13	41	7	1	0	3	29	58	24	92	35	7	35	29	78	158	246	138	417	50	202	642	661	816	1052	1472	1539	2522	2869	7888	7865	20633	67403	0
FFQ	25	0	0	0	0	0	0	2	3	42	20	41	12	1	2	6	30	54	30	71	34	4	41	38	104	142	244	142	381	62	186	688	727	807	1000	1499	1699	2654	3034	8102	7897	21206	66076	0
FFQ	26	0	0	0	0	0	1	5	6	53	26	53	8	3	0	9	27	50	25	80	46	11	62	29	86	162	274	173	390	74	207	673	716	770	1068	1507	1789	2646	2961	8329	7830	21877	65055	0
FFQ	27	0	0	0	0	0	2	5	5	51	38	49	10	6	8	5	34	56	28	85	60	14	49	31	85	206	244	151	397	81	208	787	694	762	1146	1441	1976	2745	3130	8430	7730	22619	63713	0
FFQ	28	0	0	0	0	0	1	3	9	69	42	52	6	2	4	4	53	72	36	70	45	11	59	27	114	221	250	174	370	83	235	829	689	713	1169	1500	2148	2703	3283	8716	7880	22838	62601	0
